userName,content
Supriice Yadi,berita ipdate bahasanya  mudah mengerti pokoknya siip dech
ira setiyowati,aplikasi berhenti hang agirnya macet  kalo biarkan ya demgan terpaksa unistal kalo gak benahi  tunggu kedeoanya kalo gak benahi ya say goodbay detik
chintya dewi aprianty,ada artikel beritanya muter  doang inti nya
Abdul Harif Siswanto,enak dibaca
beny setiawan,judul isi berita gak cocok  cuma nyedot kuota 
Darwis Cung,akurat terpercaya
Waryanto Darsum,sangat imformatif
Yuliawan Ardyansyah,beritanya update  sip pokoknya
endang setiawan,mantap iklan nya       
Franky Siboro,keren    berita beritanya cepat diakses
Rico Febrian,iklan masiv  dan mengganggu
Bhora Sulaiman,sx cb   
Victor Jefry,teraktual akurat detik  menit  jam 
yusuf ali,menjengkelkan enak enaknya baca judul berita scroll masuk lazada  tolong diperbaiki itu  blm perbaikan aplikasi saya hapus aplikasi detik 
Kristian Kelly Sucipto,baik
kiki riyanto,parah men aplikasi kesini susah dibuka  notifikasi pas dibuka muter  aja kaya gasing  nyalahin jaringan  padahal gw buka aplikasi lancar  aja
ahmad fathi,aplikasinya kesini lemot error jaringan  
dinz muhidin,mntap
Muhammad Husamuddin,keluarga yosua seneng ngga diribetin  udeh berbulan nangis  ngga mutu lo berita
IVAN MAULANA,bacaannya
Joko Yunianto,berita nya update
Brandon 2014,okew
Bonar Doloksaribu,ok 
Mister Sultan,sangat menarik berkesan akurat padat terpercaya amiin insya allah   
Mardi Santoso,update    
chairil akbar,tlg berita dr dunia tennis perbanyak jgn badminton melulu 
Ade Wiracahya,iklan nya bikin sebel  ga ngeklik apa  tiba  langsung ngeklik iklan yg scroll otomatis bukan gue yg scroll   sering lagi  hadeeh
Sumarno Aja,teman senggang
Nasser Jamal,akurat
Andi Prabowo widiatmoko,oke banget memuaskan
Lisnawati Apriliani,apk emang gabisa uninstall ya   atau hp aja yg gabisa  
andi Spez,tidak berimbang memihak  belajar kompas
Haji Imam,best
AdianS. Sinulingga,saat iklan buka detikcom  mengganggu
